ID	pIC50
CHEMBL407113 6.32
CHEMBL346371 6.85
CHEMBL346829 6.59
CHEMBL347632 6.73
CHEMBL347857 6.83
CHEMBL318522 6.67
CHEMBL259270 7.12
CHEMBL259271 8.3
CHEMBL156153 6.79
CHEMBL157348 6.85
CHEMBL158559 6.63
CHEMBL160373 6.33
CHEMBL160586 7.55
CHEMBL160598 6.61
CHEMBL160743 6.27
CHEMBL160829 6.32
CHEMBL428968 4.64
CHEMBL407003 7.57
CHEMBL408732 4.64
CHEMBL409738 8.15
CHEMBL345801 7.16
CHEMBL346066 6.98
CHEMBL346996 6.82
CHEMBL347681 7.15
CHEMBL351801 5.83
CHEMBL260928 6.48
CHEMBL261264 6.35
CHEMBL261439 6.37
CHEMBL260135 6.6
CHEMBL260329 6.62
CHEMBL155967 6.47
CHEMBL156379 7.58
CHEMBL158208 6.81
CHEMBL434484 6.39
CHEMBL406062 6.77
CHEMBL407980 8.15
CHEMBL410926 7.92
CHEMBL347580 6.16
CHEMBL348505 6.54
CHEMBL260680 7.75
CHEMBL261052 6.07
CHEMBL261882 6.42
CHEMBL259744 7.66
CHEMBL259838 8.15
CHEMBL156506 6.71
CHEMBL157141 6.82
CHEMBL158835 6.41
CHEMBL160333 7.03
CHEMBL160585 6.73
CHEMBL160938 6.35
CHEMBL422714 7.24
CHEMBL405145 8.1
CHEMBL345800 7.09
CHEMBL346107 6.34
CHEMBL349540 6.96
CHEMBL351334 5.58
CHEMBL260929 6.5
CHEMBL261127 6.16
CHEMBL261129 9
CHEMBL261366 7
CHEMBL261441 7.96
CHEMBL261881 7.06
CHEMBL264161 8.15
CHEMBL258483 8.3
CHEMBL258701 7.25
CHEMBL260416 8.3
CHEMBL260417 9.1
CHEMBL156263 6.67
CHEMBL156563 6.79
CHEMBL156801 5.85
CHEMBL156808 6.5
CHEMBL157089 6.86
CHEMBL160937 6.43
CHEMBL406644 7.8
CHEMBL406701 7.37
CHEMBL407981 8.4
CHEMBL408564 8.15
CHEMBL345212 7.13
CHEMBL350702 6.87
CHEMBL352222 7.7
CHEMBL288448 6.54
CHEMBL261596 7.72
CHEMBL261660 6.08
CHEMBL261661 5.57
CHEMBL263907 7.7
CHEMBL264162 6.45
CHEMBL155680 6.91
CHEMBL158719 6.88
CHEMBL158885 7.28
CHEMBL159149 7.1
CHEMBL160251 6.84
CHEMBL427909 7.62
CHEMBL407374 5.63
CHEMBL407730 7.68
CHEMBL407958 6.38
CHEMBL408809 5.55
CHEMBL345348 7.23
CHEMBL347647 6.67
CHEMBL349810 7.07
CHEMBL351356 6.52
CHEMBL317657 7.85
CHEMBL261518 8.3
CHEMBL261883 6.63
CHEMBL260243 7.46
CHEMBL155931 6.6
CHEMBL156277 6.94
CHEMBL156684 6.76
CHEMBL160876 6.96
CHEMBL435045 5.64
CHEMBL405021 6.3
CHEMBL406620 6.9
CHEMBL407002 7.96
CHEMBL407373 7.75
CHEMBL408019 7.92
CHEMBL408979 5.8
CHEMBL345364 6.87
CHEMBL346493 6.71
CHEMBL346551 6.23
CHEMBL347134 7.04
CHEMBL350435 6.15
CHEMBL322970 6.98
CHEMBL260662 8.22
CHEMBL260663 7.44
CHEMBL260664 9
CHEMBL261440 6
CHEMBL260163 7.82
CHEMBL260231 7.41
CHEMBL260344 6.37
CHEMBL40835 4.64
CHEMBL156987 7.12
CHEMBL160968 6.29
CHEMBL101804 6.85
CHEMBL406125 8.05
CHEMBL408634 6.28
CHEMBL346721 7.08
CHEMBL347419 6.39
CHEMBL351342 6.28
CHEMBL287731 5.45
CHEMBL290147 4.64
CHEMBL261549 8.15
CHEMBL261659 7.38
CHEMBL261690 7
CHEMBL259925 5.9
CHEMBL260345 8.1
CHEMBL40493 4.64
CHEMBL156218 6.67
CHEMBL156524 5.85
CHEMBL156807 6.41
CHEMBL157258 7.03
CHEMBL158526 6.69
CHEMBL160231 6.59
