CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL407113	429562	CHEMBL407113	429562		137	356.41	2.23	117.94	0	NS(=O)(=O)c1cccc(c1)c2ccc3c(NC(=O)C4CC4)n[nH]c3c2	2154856	IC50	=	481	nM	6.32	IC50	=	481	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL346371	262501	CHEMBL346371	262501		39	309.28	2.07	101.34	0	[O-][N+](=O)c1cccc(c1)C2=C(Nc3ccccc3)C(=O)NC2=O	2154953	IC50	=	141	nM	6.85	IC50	=	141	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL346829	262648	CHEMBL346829	262648		33	328.76	2.83	67.43	0	COc1cccc(c1)C2=C(Nc3cccc(Cl)c3)C(=O)NC2=O	2154959	IC50	=	257	nM	6.59	IC50	=	257	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL347632	262357	CHEMBL347632	262357		54	342.74	2.52	95.5	0	OC(=O)c1cccc(NC2=C(C(=O)NC2=O)c3ccc(Cl)cc3)c1	2154938	IC50	=	186	nM	6.73	IC50	=	186	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL347857	262977	CHEMBL347857	262977		4	349.17	3.18	78.43	0	Oc1c(Cl)cc(NC2=C(C(=O)NC2=O)c3ccccc3)cc1Cl	2154988	IC50	=	149	nM	6.83	IC50	=	149	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL318522	170006	CHEMBL318522	170006		141	283.36	3.64	57.78	0	O=C(Nc1n[nH]c2cc(ccc12)c3cccs3)C4CC4	2154852	IC50	=	215	nM	6.67	IC50	=	215	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL259270	429358	CHEMBL259270	429358		86	357.21	3.74	70.67	0	Brc1cc2c(NC(=O)C3CC3)n[nH]c2nc1c4ccccc4	2154907	IC50	=	75	nM	7.12	IC50	=	75	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL259271	429360	CHEMBL259271	429360		84	407.52	2.77	90.04	0	CCN1CCN(CCCCC(=O)Nc2n[nH]c3nnc(cc23)c4ccccc4)CC1	2154908	IC50	=	5	nM	8.3	IC50	=	5	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL156153	262995	CHEMBL156153	262995		72	335.32	2.03	92.55	0	[O-][N+](=O)c1cccc(c1)C2=C(N3CCc4ccccc34)C(=O)NC2=O	2154920	IC50	=	161	nM	6.79	IC50	=	161	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL157348	262888	CHEMBL157348	262888		35	379.2	3.19	87.66	0	COc1cccc(c1)C2=C(Nc3cc(Cl)c(O)c(Cl)c3)C(=O)NC2=O	2154957	IC50	=	142	nM	6.85	IC50	=	142	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
